"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
air_entry_bilateral,examination,,radio,"Air entry bilateral","1, Yes | 0, No | -1, Empty",,,,,,"[is_minimum] = '0'",,RH,NA,,,
crackles,examination,,radio,Crackles/Crepitations,"1, Yes | 0, No | -1, Empty",,,,,,"[is_minimum] = '0'",y,RH,NA,,,
cap_refill,examination,"<h1><font color=blue>Circulation</font></h1>",dropdown,"Capillary Refill Time (CRT)","1, X-indeterminate | 6, 1 second | 2, 2 seconds | 3, 3 seconds | 4, More than 3 secs | 5, 2-3 seconds | -1, Empty",,,,,,"[is_minimum] = '0'",y,,,,,
pallor_anaemia,examination,,dropdown,Pallor/Anaemia,"1, none | 2, +(mild/moderate) | 3, +++(Severe) | 4, Not classified | -1, Empty",,,,,,"[is_minimum] = '0'",y,,NA,,,
suck_breastfeed,examination,"<h1><font color=blue>Disability</font></h1>",radio,"Can suck/breastfeed?","1, Yes | 0, No | -1, Empty",,,,,,"[is_minimum] = '0'",,RH,NA,,,
bulging_fontanelle,examination,,radio,"Bulging fontanelle","1, Yes | 2, No/flat | -1, Empty",,,,,,"[is_minimum] = '0'",y,RH,NA,,,
irritable,examination,,radio,Irritable,"1, Yes | 0, No | -1, Empty",,,,,,"[is_minimum] = '0'",,RH,NA,,,
eye_pus,examination,,radio,"Eyes Pus","1, Yes | 0, No | -1, Empty",,,,,,"[is_minimum] = '0'",,RH,,,,
redced_movement_floppy,examination,,radio,"Reduced movement/floppy","1, Yes | 0, No | -1, Empty",,,,,,"[is_minimum] = '0'",,RH,NA,,,
umbilicus,examination,,dropdown,Umbilicus,"1, Clean | 2, Local pus | 3, Pus+red skin | -1, Empty | 4, Other",,,,,,"[is_minimum] = '0'",,,NA,,,
skin,examination,"<h1><font color=blue>General Examination</font></h1>",radio,Skin,"1, Bruising | 2, Rash | 3, Pustules | 4, None / Normal | -1, Empty",,,,,,"[is_minimum] = '0'",,RH,NA,,,
jaundice,examination,,dropdown,"Jaundice(Yellowness of eyes)","1, none(0) | 2, +(mild/moderate) | 3, +++(severe) | 4, Not classified | -1, Empty",,,,,,"[is_minimum] = '0'",y,,NA,,,
gest_size,examination,,radio,Gest/Size,"1, Normal | 2, Prem | 3, SGA/wasted | -1, Empty",,,,,,"[is_minimum] = '0'",,RH,NA,,,
abnormalities,examination,,checkbox,"Abnormalities ","1, Skull | 2, Limbs / Spine | 3, Palate / Face | 4, Genitals / anus | 5, Dysmorphic | 6, None | -1, Empty","check all that apply",,,,,"[is_minimum] = '0'",,,NA,,,
hbadmission,investigations,"<h1><font color=blue>5.Investigations</font></h1>",radio,"Haemoglobin (Hb) test ordered during hospitalization","1, Yes | 0, No | -1, Empty",,,,,,"[is_minimum] = '0'",y,RH,NA,,,
hb_hct,investigations,,radio,"Hb results available","1, Yes | 0, No | -1, Empty",,,,,,"[hbadmission] = '1' and [is_minimum] = '0'",,RH,NA,,,
hb_results,investigations,,text,"Hb results",,"( enter -1 if not recorded)",number,,,,"[hb_hct] = '1' and [is_minimum] = '0'",,,NA,,,
glucose,investigations,,radio,"Glucose(RBS)ordered at admission","1, Yes | 0, No | -1, Empty",,,,,,"[is_minimum] = '0'",y,RH,NA,,,
glucose_results,investigations,,text,"Glucose results",,"(input -1 for empty)",number,,,,"[glucose] = '1' and [is_minimum] = '0'",,,NA,,,
glucose_test_results_units,investigations,,radio,"Glucose test results units","1, mg/dl | 2, mmol/L | -1, Empty",,,,,,"[glucose_results] <> '-1' and [glucose_results] <> ''",,RH,NA,,,
bilirubin,investigations,,radio,"Bilirubin test ordered","1, Yes | 0, No | -1, Empty",,,,,,"[is_minimum] = '0'",y,RH,NA,,,
bilirubin_type,investigations,,checkbox,"Type of bilirubin","1, Total | 2, Direct | -1, Empty","Please select the type of bilirubin test results, if not available select Empty.",,,,,"[bilirubin] = '1'",,RH,,,,
bilirubin_t,investigations,,text,"Total Bilirubin",,"please indicate the value of the total bilirubin",,,,,"[bilirubin_type(1)] = '1'",,,NA,,,
bilirubin_d,investigations,,text,"Direct Bilirubin",,,,,,,"[bilirubin_type(2)] = '1'",,,NA,,,
bilirubin_t_unit,investigations,"Indicate units of bilirubin test results in micro mol/L or mg/dl",radio,"Total Bilirubin Units","1, micromol/l | 2, mg/dl | -1, Empty",,,,,,"[bilirubin_type(1)] = '1'",,,NA,bilirubin_units,,
bilirubin_d_unit,investigations,,radio,"Direct Bilirubin Units","1, micromol/l | 2, mg/dl | -1, Empty",,,,,,"[bilirubin_type(2)] = '1'",,,NA,bilirubin_units,,
lp,investigations,,radio,"Lumber puncture(LP) test ordered","1, Yes | 0, No | -1, Empty",,,,,,"[is_minimum] = '0'",y,RH,NA,,,
lp_results,investigations,,dropdown,"LP results","1, dry tap | 2, under pressure | 3, turbid | 4, bloody | 5, clear | -1, Empty",,,,,,"[lp] = '1' and [is_minimum] = '0'",,,,,,
blood_culture_ordered,investigations,,radio,"Blood culture ordered","1, Yes | 0, No | -1, Empty",,,,,,"[is_minimum] = '0'",y,RH,NA,,,
crp_done,investigations,,radio," Is crp done?","1, Yes | 0, No | -1, Empty",,,,,,"[hosp_id] = '70'",y,RH,,,,
urine,investigations,,checkbox,Urine,"1, Urinalysis | 2, Micro & culture | -1, Empty",,,,,,"[is_minimum] = '0'",,RH,,,,
pus_swab,investigations,,text,"Pus swab (Site:)",,,,,,,"[is_minimum] = '0'",,,,,,
chemistry_n,investigations,,checkbox,Chemistry,"1, Na | 2, Urea | 3, Creat | 4, LFTs | 5, Nil | 6, K | -1, Empty",,,,,,"[is_minimum] = '0'",,RH,,,,
clear_pry_adm_diag,babys_admission_diagnoses,,radio,"Clear primary admission diagnosis?","1, Yes | 0, No | -1, Empty",,,,,,,,RH,NA,,,
pry_adm_diag,babys_admission_diagnoses,,text,"Primary Admission diagnosis",,,,,,,"[clear_pry_adm_diag] = '1'",,,,,,
adm_diag_1,babys_admission_diagnoses,,text,"Admission diagnosis 1",,,,,,,"[clear_pry_adm_diag] = '0'",,,,,,
adm_diag_2,babys_admission_diagnoses,,text,"Admission diagnosis 2",,,,,,,"[clear_pry_adm_diag] = '0'",,,,,,
adm_diag_3,babys_admission_diagnoses,,text,"Admission diagnosis 3",,,,,,,"[clear_pry_adm_diag] = '0'",,,,,,
other_admission_diag,babys_admission_diagnoses,,yesno,"Other admission diagnoses",,,,,,,,,RH,NA,,,
other_admission_diag_1,babys_admission_diagnoses,,text,"Other admission diagnosis 1",,,,,,,"[other_admission_diag] = '1'",,,,,,
other_admission_diag_2,babys_admission_diagnoses,,text,"Other admission diagnosis 2",,,,,,,"[other_admission_diag] = '1'",,,,,,
other_admission_diag_3,babys_admission_diagnoses,,text,"Other admission diagnosis 3",,,,,,,"[other_admission_diag] = '1'",,,,,,
other_admission_diag_4,babys_admission_diagnoses,,text,"Other admission diagnosis 4",,,,,,,"[other_admission_diag] = '1'",,,,,,
other_admission_diag_5,babys_admission_diagnoses,,text,"Other admission diagnosis 5",,,,,,,"[other_admission_diag] = '1'",,,,,,
other_adm_diag_not_listed,babys_admission_diagnoses,,yesno,"Other admission diagnosis not listed",,,,,,,,,RH,NA,,,
admisn_diag_not_listed,babys_admission_diagnoses,,text,"Admission diagnoses not listed",,"List the diagnosis separating by commas",,,,,"[other_adm_diag_not_listed] = '1'",,,,,,
t_sheet,drug_treatment,"<h1><font color=blue>8.DRUG TREATMENT  (Use data from treatment sheet only. Include any drugs given during hospitalization)</font></h1>",yesno,"Is there a treatment sheet in the file?",,"<i>CHECK AND ASCERTAIN BEFORE YOU SELECT ""NO""</i>",,,,,"[is_minimum] = '0'",y,RH,NA,,,
pen,drug_treatment,"<h1></h1> <h2><font color=blue>8.1 ANTIBIOTICS</font></h2>",yesno,"<span style=""color:black;text-align:left;"">1.Benzyl/Crystalline Penicillin(Xpen) prescribed</span>",,,,,,,"[is_minimum] = '0'",y,RH,NA,,,
date_prescribed,drug_treatment,,text,"<span style=""color:black;text-align:left;"">Date prescribed </span>",,"if unrecorded enter 1914-01-01)",date_ymd,,,,"[pen] = '1' and [is_minimum] = '0'",,,NA,,,
pen_route,drug_treatment,,radio,"<span style=""color:black;text-align:left;"">Route </span>","1, I.M | 2, I.V |-1, Empty",,,,,,"[pen] = '1' and [is_minimum] = '0'",,RH,NA,,,
pen_dose_mg,drug_treatment,,text,"<span style=""color:black;text-align:left;"">Dose </span>",,"amount prescribed per dose ( enter -1 if not recorded)",number,50000,2.00E+05,,"[pen] = '1' and [is_minimum] = '0'",,,NA,,,
pen_dose_unit,drug_treatment,,radio,"<span style=""color:black;text-align:left;"">Units</span>","1, IU | 2, mg | 3, MU(megaunit) | -1, Empty",,,,,,"[pen] = '1' and [is_minimum] = '0'",,RH,NA,,,
pen_freq,drug_treatment,,dropdown,"<span style=""color:black;text-align:left;"">Frequency </span>","1, OD/once a day/24hrly | 2, BD/twice a day/12hrly | 3, TID/TDS/three times a day/8hrly | 4, QID/4 times a day/6hrly | 5, STAT | -1, Empty",,,,,,"[pen] = '1' and [is_minimum] = '0'",,,NA,,,
